abandon: terk et
ability: yetenek
tone: ton
tongue: dil
tonight: bu akşam
tool: araç
tooth: diş
top: üstünde
topic: başlık
topple: devril
torch: fener
tornado: kasırga
tortoise: kaplumbağa
toss: at
total: toplam
tourist: turist
toward: ileri
tower: kule
town: şehir
toy: oyuncak
track: izle
trade: alım satım
traffic: trafik
tragic: trajik
train: eğit
transfer: transfer
trap: kapan
trash: çöp
travel: gez
tray: tabla
treat: davran
tree: ağaç
trend: trend
trial: duruşma
tribe: kabile
trick: numara
trigger: tetik
trim: kırp
trip: gezi
trophy: ödül
trouble: bela
truck: kamyonet
true: doğru
truly: gerçekten
trumpet: trompet
trust: güven
truth: gerçek
try: dene
tube: tüp
tuition: harç
tumble: takla
tuna: ton balığı
tunnel: tünel
turkey: hindi
turn: dön
turtle: kaplumbağa
twelve: oniki
twenty: yirmi
twice: iki kere
twin: ikiz
twist: dönme
two: iki
type: tip
typical: tipik
ugly: çirkin
umbrella: şemsiye
unable: aciz
unaware: habersiz
uncle: amca
uncover: ortaya çıkar
under: aşağıda
undo: geri al
unfair: haksız
unfold: açılmak
unhappy: mutsuz
uniform: üniforma
unique: eşsiz
unit: birim
universe: evren
unknown: bilinmeyen
unlock: kilit aç
until: kadar
unusual: olağan dışı
unveil: örtüsünü aç
update: güncelleme
upgrade: güncelleme
uphold: destekle
upon: üzerine
upper: üst
upset: üzgün
urban: kentsel
urge: dürtü
usage: kullanma
use: kullanım
used: kullanılmış
useful: kullanışlı
useless: kullanışsız
usual: olağan
utility: fayda
vacant: boş
vacuum: vakum
vague: belirsiz
valid: geçerli
valley: vadi
valve: valf
van: kamyonet
vanish: yok olmak
vapor: buhar
various: çeşitli
vast: büyüklük
vault: kasa
vehicle: araç
velvet: kadife
vendor: satıcı
venture: girişim
venue: mekan
verb: fiil
verify: doğrula
version: versiyon
very: çok
vessel: gemi
veteran: gazi
viable: geçerli
vibrant: canlı
vicious: kısır
victory: zafer
video: video
view: görüş
village: köy
vintage: nostaljik
violin: keman
virtual: sanal
virus: virüs
visa: vize
visit: ziyaret
visual: görsel
vital: hayati
vivid: canlı
vocal: vokal
voice: ses
void: boşluk
volcano: volkan
volume: ses
vote: oy
voyage: yolculuk
wage: maaş
wagon: vagon
wait: bekleme
walk: yürüyüş
wall: duvar
walnut: ceviz
want: istek
warfare: harp
warm: ılık
warrior: savaşçı
wash: yıkama
wasp: yabanarısı
waste: atık
water: su
wave: dalga
way: yol
wealth: sağlık
weapon: silah
wear: giysi
weasel: gelincik
weather: hava
web: ağ
wedding: düğün
weekend: haftasonu
weird: garip
welcome: hoşgeldin
west: batı
wet: ıslak
whale: balina
what: ne
wheat: buğday
wheel: tekerlek
when: ne zaman
where: neresi
whip: kırbaç
whisper: fısılda
wide: geniş
width: genişlik
wife: eş
wild: vahşi
will: istek
win: kazan
window: pencere
wine: şarap
wing: kanat
wink: göz kırp
winner: kazanan
winter: kış
wire: tel
wisdom: bilgelik
wise: bilge
wish: dilek
witness: tanık
wolf: kurt
woman: kadın
wonder: merak
wood: odun
wool: yün
word: kelime
work: iş
world: dünya
worry: endişe
worth: değer
wrap: dürüm
wreck: enkaz
wrestle: güreş
wrist: bilek
write: yaz
wrong: yanlış
yard: bahçe
year: yıl
yellow: sarı
you: sen
young: genç
youth: gençlik
zebra: zebra
zero: sıfır
zone: alan
zoo: hayvanat bahçesi
